year,vep_highest
2012,0.551
2010,0.440
2008,0.609
2006,0.402
2004,0.588
2002,0.361
2000,0.557
1998,0.435
1996,0.537
1994,0.469
1992,0.603
1990,0.424
1988,0.557
1986,0.434
1984,0.572
1982,0.487
