year,vep_highest
2012,0.58
2010,0.409
2008,0.616
2006,0.404
2004,0.601
2002,0.395
2000,0.542
1998,0.381
1996,0.517
1994,0.411
1992,0.581
1990,0.384
1988,0.528
1986,0.381
1984,0.552
1982,0.421
